Ticketid,Calendar Week ,Ticket Create Time,Priority,Site,Problem Description,General Category,Sub Category,Resolution,No
INC000005648643,CW: 2021/47,11/23/2021 6:55:43 AM,Critical,Batam,"(1) Problem description on error* (Including screenshot of error):  
   Lot not able to Track In from the FAJob Main-Test on Camstar due to prompt out Error Message:
""Request time out by JobControllerBE!TIMEOUT Code(-402)"".

(2) Site*: Mark ""x"" for user site

[X] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: VE120150G01, VE119681G02

(4) Equipments affected: TEA565-014-2

(5) Equipment/PC name: ISCW4CE9250Y55

(6) Camstar Server*: BTHSAPA23
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only): https://faqstorage.infineon.com/KnowledgebaseArticle119726.aspx

(10) Affected area contact number*: +62770610545

(11)Alt Contact Person Name (Compulsory for Critical)*: Harwandi Harwandi

(12)Alt Contact Person Number (Compulsory for Critical): +62770610616

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state 

ISCW4CE9250Y55.infineon.com, 10.221.141.21, INFINEON\Harwandi, BTH, ,",Integration,EAF/EAFA,"1) Findings: TFM and EQ done.

2) Containment Action*: checked with EA team, the EQ's before pointed to station station 1 TEA565-014-1 , and EA team helped change to station 2, TEA565-014-2. and lot can track in.

3) FAQ: 

* Mandatory fields.",40
INC000005650763,CW: 2021/47,11/24/2021 1:03:52 AM,Low,Singapore,"(1) Problem description on error* (Including screenshot of error):  
   (1)LOT ID :  84PBG578IA8
Summary report : 11/23/2021 20:59:45
Test Flag : “ W ” missing test summary in Camstar    (Camstar summary : 1xN,1xW)
Test Mode : B61P                                                           
Node Name:  SINF7555
Equipment Type : J750-055
Equipment ID :  DM-126
Filename:\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\84P\BG\84PBG578\84PBG578IA8_B61P_W_20211123205343_M6301HGX154J7_SINF7555_sum.txt 

(2)LOT ID :   84PBG588IA1
Summary report : 11/23/2021 22:40:49
Test Flag : “ N ” missing test summary in Camstar    (Camstar summary : 1xN,1xW)
Test Mode : B61P                                                           
Node Name:  SINF7571
Equipment Type : J750-071
Equipment ID :  DM-006
Filename:\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\84P\BG\84PBG588\84PBG588IA1_B61P_N_20211123160152_M6303G8B241J7_SINF7571_sum.txt
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[ X ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 
84PBG578IA8 , 84PBG588IA1
(4) Equipments affected:

(5) Equipment/PC name:
 J750-055
(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: 

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx",Integration,EAF/EAFA,"1) Findings: missing test summary

2) Containment Action*: copy and recover test summary.

3) FAQ: 
https://faqstorage.infineon.com/ServiceDeskFAQs/113067/MissingTestSummaryinCamstarSingapore

* Mandatory fields.",41
INC000005656058,CW: 2021/48,11/25/2021 8:13:42 PM,Low,Batam,"Problem Description:
	Missing test summary F test mode B41P qty 2030 pcs,

Site:
	BTH

Lot Number:
	RU119001B11

Equipments Affected:
	TEMMCI002

Camstar Server:
	BTHSAPA22

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	+62770613616

",Integration,EAF/EAFA,"1) Findings:

2) Containment Action*: Lot summary has been recovered and can be accessed in Camstar

3) FAQ:",42
INC000005656853,CW: 2021/47,11/26/2021 8:41:14 AM,High,Melaka,"Problem Description:
	Partial Test summary not available in camstar, attached is test summary extracted from tester and please help to REPUMP.
	Tester Type : IPTESTER
	Tester ID      : IPTEST020
	Test Mode   : B11P/Q11P
	Type             : N

Site:
	MKZ M3 (PLT)

Lot Number:
	VF127033G10

Equipments Affected:
	SIS010

Camstar Server:
	MKZSAPA28

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	5717

",Integration,EAF/EAFA,"Findings: Found the test summary file have wrong format .txt;1 
Containment: Update file name and repump test summary.",43
INC000005658189,CW: 2021/47,11/27/2021 10:57:20 AM,Critical,Melaka,"(1) Problem description on error* (Including screenshot of error):  

unable to abort job due to wrongly track in

?1: EAF.AbortTransportJob: (20) General Error. Equipment rejected command. Same Source and Destination.
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[x  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 1E131189G10

(4) Equipments affected:

(5) Equipment/PC name:A11TF21

(6) Camstar Server*:AtanAsma @ MKZSAPA24 (V7SU5.R8.4.RC1a)
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only): no faq

(10) Affected area contact number*:  06 251 5663

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state 

ISCWSGH713PYPF.infineon.com, 10.233.32.169, INFINEON\AtanAsma, MKZ/B8.3.R01.P, ,",Integration,EAF/EAFA,"1) Findings: find no issue

2) Containment Action*: manual abort FAJob and remove related attribute value

3) FAQ: 

* Mandatory fields.",44
INC000005658519,CW: 2021/47,11/27/2021 6:53:55 PM,Critical,Melaka,"(1) Problem description on error* (Including screenshot of error):   TrackIn lot with - code 103 Generic service cannot be processed now
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[ x ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number:  ZA129050M0B

(4) Equipments affected: STP01


(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: 6062515654

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CC938477D.infineon.com, 10.233.12.174, INFINEON\Rosley, MKZ/B5.2.R01.P, ,",Integration,EAF/EAFA,"1) Findings: EAF Mango instance for equipment was not communicating.

2) Containment Action*: Restarted equipment instance and machine handler, user feedback was now Ok.

3) FAQ: 

* Mandatory fields.",45
INC000005665578,CW: 2021/48,12/1/2021 7:34:47 AM,Low,Melaka,"(1) Problem description on error* (Including screenshot of error):  EAF.CreateEAJob:Generic Error: Internal Timeout while processing request..
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[ x ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number:  VE917695G10

(4) Equipments affected: SO3K14

(5) Equipment/PC name: ISCF8CC1010CHB.infineon.com, 172.21.108.45

(6) Camstar Server*: MKZSAPA24
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only): No FAQ 

(10) Affected area contact number*: +6062515520 or +6019-6561868

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state 


, INFINEON\Ridzuan, MKZ/B8.1.R01.P, ,",Integration,EAF/EAFA,"1) Findings: Issue solved after PTE configured the handler recipe in Camstar

2) Containment Action*:

3) FAQ: 

* Mandatory fields.",46
INC000005674341,CW: 2021/49,12/6/2021 2:40:56 AM,Medium,Melaka,"(1) Problem description on error* (Including screenshot of error):  

Missing Test Summary

  1.  Lot ID          : VC137076G09
Machine     : Sir018
             Equipment  : Iptest
             Test Mode  : B11P & Q11P
              Test Flag      : N

  1.  Lot ID           :RB146986G10
              Machine     : Sir020
             Equipment  : Iptest
             Test Mode  : B11P & Q11P
              Test Flag      : N
     Please repump test summary into camstar.

IP TESTER
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 

(4) Equipments affected: 

(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):  https://faqstorage.infineon.com/KnowledgebaseArticle126629.aspx

(10) Affected area contact number*: 

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state , INFINEON\Hassan, MKZ/B8.3.R01.P, ,",Integration,EAF/EAFA,"the test summary file's format user provided is .txt_1

update to .txt and recover successfully..

https://faqstorage.infineon.com/ServiceDeskFAQs/126629/MissingTestSummaryinCamstarMelaka",47
INC000005674667,CW: 2021/49,12/6/2021 6:23:05 AM,High,Melaka,"(1) Problem description on error* (Including screenshot of error):  Camstar.TrackInXml: Error from IFXCamstarGateway with Error Code: 20 and Error Message: General Error. Failed to execute DownloadOrderFile command: Failed to set Current Directory: MKZF0030 FTP
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: RU134143M0X

(4) Equipments affected:

(5) Equipment/PC name:MKZF0030

(6) Camstar Server*:mkzsapa27
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: 6062515831

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCF8CC04716PN.infineon.com, 172.21.19.162, INFINEON\AkbarAli, MKZ/B6.2.R01.P, ,",Integration,EAF/EAFA,"1) Findings:
equipment no access to connect FTP path
2) Containment Action*:
advise user restart equipment first,if still error need find IT add access
restart eq error solved
3) FAQ: 

* Mandatory fields.",48
INC000005675161,CW: 2021/49,12/6/2021 8:51:04 AM,High,Melaka,"Problem Description:
	Summary missing in CAMSTAR. Based on TCA checking, summary successfully transferred from tester to EAF server \\mkzsa1222.ap.infineon.com\Testsummary. Please help to recover all the affected summary by today as lots are urgently need to deliver to customers.
	
	Suspect summary missing due to the incidents on 4th Dec. CAMSTAR unavailability due to IT infrastructure interruption.

Site:
	MKZ M3 (PLT)

Lot Number:
	Kindly refer to the attachment for affected lot list

Equipments Affected:
	A565 & Microflex

Camstar Server:
	MKZSAPA31

Integration Application:
	EAF

Printer:
	

Affected Area Contact Number:
	+60129763065

",Integration,EAF/EAFA,"missing test summary
copy files to recovery file",49
INC000005677777,CW: 2021/49,12/7/2021 6:52:07 AM,Low,Melaka,"Problem Description:
	Partial Test summary not available in camstar, attached is test summary extracted from tester and please help to REPUMP.
	Tester Type : IPTESTER
	Tester ID      : IPTEST020
	Test Mode   : B11P/Q11P
	Type             : N

Site:
	MKZ M3 (PLT)

Lot Number:
	VF139061G01

Equipments Affected:
	SIS010

Camstar Server:
	 MKZSAPA24 

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	5717

",Integration,EAF/EAFA,"recover Test summary ,  issue handled.",50
INC000005681597,CW: 2021/49,12/8/2021 12:38:08 PM,Critical,Melaka,"(1) Problem description on error* (Including screenshot of error):  
Not able to track in
EAF.CreateEAJob: General Error. Equipment rejected command. Unable to execute remote command 'AbortControlJob' at the equipment: Error Code: -1, Details: NONE
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[X] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number:  VF939107G02

(4) Equipments affected: PDBGADP008

(5) Equipment/PC name: ISCW8CC9350W7J

(6) Camstar Server*: MKZSAPA21
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only): na

(10) Affected area contact number*: +6062515514

(11)Alt Contact Person Name (Compulsory for Critical)*: Mohamad Hassan

(12)Alt Contact Person Number (Compulsory for Critical): +60173780764 

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CC9350W7J.infineon.com, 10.233.12.100, INFINEON\HassMoha, MKZ/B5.G.R01.P, ,",Integration,EAF/EAFA,"1) Findings: Restart Mango EAF

2) Containment Action*:

3) FAQ: 

* Mandatory fields.",51
INC000005685011,CW: 2021/49,12/9/2021 3:18:59 PM,Critical,Melaka,"(1) Problem description on error* (Including screenshot of error):  
   
- EAF.CreateEAJob: General Error. Equipment rejected command. Unable to execute remote command 'AbortControlJob' at the equipment: Error Code: -1, Details: NONE


(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[ x ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: ZF011011G21

(4) Equipments affected: PDBGADP008

(5) Equipment/PC name: ISCW8CC9350W7J

(6) Camstar Server*: MKZSAPA29
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: +6062515514

(11)Alt Contact Person Name (Compulsory for Critical)*: Hassan Mohamad
 
(12)Alt Contact Person Number (Compulsory for Critical): +60173780764

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state 

ISCW8CC9350W7J.infineon.com, 10.233.12.100, INFINEON\HassMoha, MKZ/B5.G.R01.P, ,",Integration,EAF/EAFA,"1) Findings:

2) Containment Action*: restart mango, lot can trackin 

3) FAQ: 

* Mandatory fields.",52
INC000005685423,CW: 2021/49,12/9/2021 8:29:49 PM,Critical,Melaka,"(1) Problem description on error* (Including screenshot of error):  
   
- EAF.CreateEAJob: General Error. Equipment rejected command. Unable to execute remote command 'AbortControlJob' at the equipment: Error Code: -1, Details: NONE

(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[ x ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number:  ZF117382G10

(4) Equipments affected: PDBGADP008

(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: 6062515514 / 0173780764

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CC9350W7J.infineon.com, 10.233.12.100, INFINEON\HassMoha, MKZ/B5.G.R01.P, ,",Integration,EAF/EAFA,"1) Findings:

2) Containment Action*: Restarted eaf instance, then lot able to track in.

3) FAQ: 

* Mandatory fields.",53
INC000005685754,CW: 2021/50,12/10/2021 4:39:58 AM,Low,Melaka,"(1) Problem description on error* (Including screenshot of error):  
Dear IT,
    Please refer attachment for filezilla test summary.

Detail :-
   Lot ID : RU127246G01
   Machine : SIM029
  Equipment : IPtest
  Testmode   : Q11P
  Test Flag     : N

*Please repump test summary into camstar.

Rgds,
Anuar

(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[ X] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: RU127246G01

(4) Equipments affected: SIM029

(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):https://faqstorage.infineon.com/KnowledgebaseArticle126629.aspx

(10) Affected area contact number*: +6062515771

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state , INFINEON\Hassan, MKZ/B8.3.R01.P, ,",Integration,EAF/EAFA,"1) Findings: missing test summary

2) Containment Action*: just manual recover 

3) FAQ: 
https://faqstorage.infineon.com/ServiceDeskFAQs/126629/MissingTestSummaryinCamstarMelaka

* Mandatory fields.",54
INC000005685856,CW: 2021/50,12/10/2021 5:03:34 AM,Low,Melaka,"Problem Description:
	Test summary missing in CAMSTAR. According to TCA, test summary was successfully transferred out from tester and EAF server. Summary already available in below path :-
	\\mkzsdn01.ap.infineon.com\camstar_testfile\TestSummary\_Archive\POM_FLEX\2021-12-5
	
	Kindly help to recover this summary. Thank you
	
	

Site:
	MKZ M3 (PLT)

Lot Number:
	1E143676G02_B21P

Equipments Affected:
	MKZEMFLEX39

Camstar Server:
	MKZSAPA24

Integration Application:
	EAF

Printer:
	

Affected Area Contact Number:
	+60129763065

",Integration,EAF/EAFA,"missing test summary.
Follow FAQ, manual recover it.
https://faqstorage.infineon.com/ServiceDeskFAQs/126629/MissingTestSummaryinCamstarMelaka?Keywords=missing+test+summary",55
INC000005689027,CW: 2021/50,12/13/2021 7:26:19 AM,High,Melaka,"(1) Problem description on error* (Including screenshot of error):  
   Missing Test Summary in Camstar

(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[X  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

Lot: VC119340G03
Test Mode: B51P
Test type: N
Equipment ID: NEO-001
Equipment Type: CREA_MT100ST

Filename : \\srfiler.mkz.infineon.com\FTPRoot$\MFG\arc_view\2021\19\VC119340\VC119340G03_B51P_EBS.TLT

(6) Camstar Server*: MKZSAPA21
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):https://faqstorage.infineon.com/KnowledgebaseArticle126629.aspx

(10) Affected area contact number*: +6062515955

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):0173191996

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CC13748C6.infineon.com, 10.233.32.62, INFINEON\ZahariRo, MKZ/B8.1.R01.P, ,",Integration,EAF/EAFA,"1) Findings: Upon checking, test summary could be found in Camstar.

2) Containment Action*:
Verify with user, user feedback Prod received test summary. 
Lot has proceed and move out to next step.

No action by BOC.

3) FAQ: 

* Mandatory fields.",56
