Ticket ID,Site Default,Calendar Week ,Ticket Create Time,Problem Description,General Category,Sub Category,Resolution,Priority,No.,Count of Calendar Week 
INC000005536205,Cegled,CW: 2021/39,9/29/2021 8:17:31 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	

Equipments or Process Affected:
	Tételindítás

Host name:
	

Problem description / Error message:
	Sziasztok!
	
	Szeretném kérni a következ? 3 auftrag abortálását Camstarból, véletlen lettek beregisztrálva ECONO2_SUB_A-ba.
	
	81476064
	81476065
	81476066
	
	Köszönöm szépen!
	Klau

Contact Phone Number:
	06308311776

",Procedural,Others,"abort of lots done, see email at Mi 29.09.2021 20:37",Low,11,1
INC000005536330,Cegled,CW: 2021/39,9/29/2021 9:15:44 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	

Equipments or Process Affected:
	ECONO2_MOD_A

Host name:
	

Problem description / Error message:
	Sziasztok!
	
	A következ? tételt szeretném kimozgatni ECONO2_MOD_A-ból, de fantom WT miatt nem tudom:
	
	81472673
	
	Köszönöm szépen el?re is a segítséget!
	Üdv.: Klau

Contact Phone Number:
	308311776

",Configuration,AWI,Kérem folytassátok az átmozgatást.,Low,12,1
INC000005536330,Cegled,CW: 2021/39,9/29/2021 9:15:44 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	

Equipments or Process Affected:
	ECONO2_MOD_A

Host name:
	

Problem description / Error message:
	Sziasztok!
	
	A következ? tételt szeretném kimozgatni ECONO2_MOD_A-ból, de fantom WT miatt nem tudom:
	
	81472673
	
	Köszönöm szépen el?re is a segítséget!
	Üdv.: Klau

Contact Phone Number:
	308311776

",Integration,PGS+,Kérem folytassátok az átmozgatást.,Low,13,1
INC000005536330,Cegled,CW: 2021/39,9/29/2021 9:15:44 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	

Equipments or Process Affected:
	ECONO2_MOD_A

Host name:
	

Problem description / Error message:
	Sziasztok!
	
	A következ? tételt szeretném kimozgatni ECONO2_MOD_A-ból, de fantom WT miatt nem tudom:
	
	81472673
	
	Köszönöm szépen el?re is a segítséget!
	Üdv.: Klau

Contact Phone Number:
	308311776

",Platform,Kibana,Kérem folytassátok az átmozgatást.,Low,14,1
INC000005536330,Cegled,CW: 2021/39,9/29/2021 9:15:44 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	

Equipments or Process Affected:
	ECONO2_MOD_A

Host name:
	

Problem description / Error message:
	Sziasztok!
	
	A következ? tételt szeretném kimozgatni ECONO2_MOD_A-ból, de fantom WT miatt nem tudom:
	
	81472673
	
	Köszönöm szépen el?re is a segítséget!
	Üdv.: Klau

Contact Phone Number:
	308311776

",Procedural,eCert,Kérem folytassátok az átmozgatást.,Low,15,1
INC000005536330,Cegled,CW: 2021/39,9/29/2021 9:15:44 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	

Equipments or Process Affected:
	ECONO2_MOD_A

Host name:
	

Problem description / Error message:
	Sziasztok!
	
	A következ? tételt szeretném kimozgatni ECONO2_MOD_A-ból, de fantom WT miatt nem tudom:
	
	81472673
	
	Köszönöm szépen el?re is a segítséget!
	Üdv.: Klau

Contact Phone Number:
	308311776

",Reporting,Online query,Kérem folytassátok az átmozgatást.,Low,16,1
INC000005537104,Cegled,CW: 2021/39,9/30/2021 6:54:33 AM,"Site:
	CEG

Affected Line:
	62mm

Fauf (Fertigungsauftrag) / Lot ID:
	81400000

Area:
	DCB-válogatás

Interface:
	Camstar

Equipments or Process Affected:
	Vadu104 mögött!

Host name:
	ISCFS4FF9696

Problem description / Error message:
	DCB-válogató területen lév? PC, nem kommunikál a hozzá rendelt nyomtatóval.
	PC name: ISCFS4FF9696
	Nyomtató: IP Address: 172.29.86.35

Contact Phone Number:
	309312820

",Integration,Camstar,"lot checked, jobs cleaned, service restarted, by user verification done that ok",Low,17,1
INC000005538764,Cegled,CW: 2021/39,9/30/2021 1:41:42 PM,"Site:
	CEG

Affected Line:
	Econo1

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	Anyagos

Interface:
	

Equipments or Process Affected:
	ISCFS4NK2191

Host name:
	ISCFS4NK2191

Problem description / Error message:
	Anyagos gépr?l generáltam restcímkét és kiküldtem a címkenyomtatóra ( econo1 összes tisztatéri nyomtatójánál próbáltam), de nem adta ki a címkét. Valószín?leg kommunikációs probléma, mert a címkét elküldi a nyomtatóra csak oda nem érkezik meg.

Contact Phone Number:
	308311786

Carriers / Items affected (ID):
	308311786

",Integration,Others,Print Spooler service restart needed on cegsapi21 server.,Low,18,1
INC000005542630,Cegled,CW: 2021/40,10/2/2021 9:26:36 AM,"*Problem description / Error message: User is wrongly scrapped 494 items from 81475737.02 carrier.
*Site (WAR/ CEG): CEG
*Affected line (PowerLine / HD-Line / EASY / Sinter Line/ Econo1/Econo2/ 62mm/ IHM): Econo 2
Fauf / Lot ID: 81475737
Area (e.g. Chip soldering): DCB Breaking
Interface (Camstar / XMES/ Equipment): XMES
*Equipment or Process (ID, Equipment number): 
Host Name: 
Screenshot of the error message: 
*Contact: 

If applicable: 
Carriers / Items affected (ID):CAR: 81475737 ITEMS: 81475737-itm0521,81475737-itm0522,81475737-itm0523,81475737-itm0524,81475737-itm0525,81475737-itm0526,81475737-itm0527,81475737-itm0528,81475737-itm0529,81475737-itm0530,81475737-itm0531,81475737-itm0532,81475737-itm0533,81475737-itm0534,81475737-itm0535,81475737-itm0536,81475737-itm0537,81475737-itm0538,81475737-itm0539,81475737-itm0540,81475737-itm0541,81475737-itm0542,81475737-itm0543,81475737-itm0544,81475737-itm0545,81475737-itm0546,81475737-itm0547,81475737-itm0548,81475737-itm0549,81475737-itm0550,81475737-itm0551,81475737-itm0552,81475737-itm0553,81475737-itm0554,81475737-itm0555,81475737-itm0556,81475737-itm0557,81475737-itm0558,81475737-itm0559,81475737-itm0560,81475737-itm0561,81475737-itm0562,81475737-itm0563,81475737-itm0564,81475737-itm0565,81475737-itm0566,81475737-itm0567,81475737-itm0568,81475737-itm0569,81475737-itm0570,81475737-itm0571,81475737-itm0572,81475737-itm0573,81475737-itm0574,81475737-itm0575,81475737-itm0576,81475737-itm0577,81475737-itm0578,81475737-itm0579,81475737-itm0580,81475737-itm0581,81475737-itm0582,81475737-itm0583,81475737-itm0584,81475737-itm0585,81475737-itm0586,81475737-itm0587,81475737-itm0588,81475737-itm0589,81475737-itm0590,81475737-itm0591,81475737-itm0592,81475737-itm0593,81475737-itm0594,81475737-itm0595,81475737-itm0596,81475737-itm0597,81475737-itm0598,81475737-itm0599,81475737-itm0600,81475737-itm0601,81475737-itm0602,81475737-itm0603,81475737-itm0604,81475737-itm0605,81475737-itm0606,81475737-itm0607,81475737-itm0608,81475737",Procedural,Others,"All items which is listed are scrapped with AL08 loss code, now way to bring back them. all other carriers have been checked. Current workaround can be if all carriers haven been finished then move out lot from sub aggregated spec in Camstar and correct/remove items from scrap in SAP.",Low,19,1
INC000005542724,Cegled,CW: 2021/40,10/2/2021 10:26:56 AM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	81472475

Area:
	rendszerforrasztás

Interface:
	

Equipments or Process Affected:
	scfs4nk2184

Host name:
	

Problem description / Error message:
	A U73257P0 (81472475) tételt szerettem volna modul2 be átmozgatni de a vadun fantom wt-ik vannak.

Contact Phone Number:
	308311776

Carriers / Items affected (ID):
	308311776

",Procedural,Others,mehet az átmozgatás / trackout possible,Low,20,1
INC000005542795,Cegled,CW: 2021/39,10/2/2021 9:37:45 PM,"Site:
	CEG

Affected Line:
	Econo1

Fauf (Fertigungsauftrag) / Lot ID:
	81475559

Area:
	modul elektromos teszt

Interface:
	Camstar

Equipments or Process Affected:
	mérés

Host name:
	

Problem description / Error message:
	A tételt zárni szeretném, de  Move out-nál 5 item  modul elektromos tesztnél.

Contact Phone Number:
	778

Carriers / Items affected (ID):
	778

",Integration,Camstar,"A hibát megszüntettem, mehet a move out.",Low,21,1
INC000005542987,Cegled,CW: 2021/41,10/3/2021 5:05:45 PM,"TFM nem jól mutatja a termel? gépet(VADU8) NCM státuszban van. Nem kommunikál.

Other Relevant Hardware:
	iPC - E.Q stat monitor

",Procedural,Others,"When I checked there was not NCM status in TFM. Communication problem happened with the equipment, in this case need to change the status manually.",Low,22,1
INC000005545318,Cegled,CW: 2021/40,10/4/2021 11:16:59 AM,"*Problem description / Error message: 
*Site (WAR/ CEG):CEG
*Affected line (PowerLine / HD-Line / EASY / Sinter Line/ Econo1/Econo2/ 62mm/ IHM): 
Fauf / Lot ID: 
Area (e.g. Chip soldering): 
Interface (Camstar / XMES/ Equipment): 
*Equipment or Process (ID, Equipment number): CEGFCZC7298XX6.ifxcep.ent
Host Name: 
Screenshot of the error message: 

Tárgy: Cegp0024 Zebra nyomtató csere

Sziasztok,

a 62mm csomagolóban  kicseréltük a cegp0024-es nyomtatót.(a régi nyomtató nem érzékelte semmilyen módon a lecsukott fejet) 
Az új nyomtatót elneveztük cegp0024-nek, hálózaton elérhet?, pingelhet?, tesztoldal kijött, viszont az Sprint programból nem jönnek ki a cimkék.
A nyomtató ip-je: 172.29.86.35
Kontakt személy: Tancsik Tamás illetve hívható a 62mm csomagoló is a +36 53 514 627 telefonszámon.

Üdvözlettel:

Rudolf Gazdag 


*Contact: 

If applicable: 
Carriers / Items affected (ID):",Integration,Spectrum,"local checks done, supplier of enterprise labelling solved the issue , Krisztián give feedback ca at 12:50 from production that works fine, labels come out",Medium,23,1
INC000005547073,Cegled,CW: 2021/40,10/4/2021 7:29:21 PM,"*Problem description / Error message: 
*Site (WAR/ CEG):CEG
*Affected line (PowerLine / HD-Line / EASY / Sinter Line/ Econo1/Econo2/ 62mm/ IHM): 
Fauf / Lot ID: 81473989
Area (e.g. Chip soldering): 
Interface (Camstar / XMES/ Equipment): 
*Equipment or Process (ID, Equipment number): 
Host Name: 
Screenshot of the error message: 
Sziasztok!

Szeretnék wt áthelyezést kérni röntgen állomáson:

Oka: nem egyenes a wt /deformált/

Adatok:

FAUF: 81473989
Charge: H59059P0

Err?l a Wt-r?l:
0100039396900057

Erre a Wt-re:
0100039396900356

*Contact: 

If applicable: 
Carriers / Items affected (ID): Err?l a Wt-r?l:
0100039396900057

Erre a Wt-re:
0100039396900356",Platform,Others,"lot checked, irtems deassigned, if the new wt free checked, start clu done, wt with items assigned...",Low,24,1
INC000005547136,Cegled,CW: 2021/40,10/4/2021 6:15:01 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	Equipment

Equipments or Process Affected:
	Datacon 38
	

Host name:
	

Problem description / Error message:
	Econo2 Chipbeültetésen a 38-as Datacon berendezés operátor hiány miatt nem termelt.
	Az Equstat vissza állt termel? jelzésbe.
	A TFM is 100% mutattot hollot a berendezés nem termelt. 17:00-18:00.
	De minden berendezésre vonatkozik.

Contact Phone Number:
	06307570188

Carriers / Items affected (ID):
	06307570188

",Procedural,Others,Operator hiany function was not used in EQSTAT by user.,Low,25,1
INC000005547467,Cegled,CW: 2021/40,10/5/2021 3:24:17 AM,"*Problem description / Error message: 
Sziasztok!
Szeretnénk segítséget kérni , az alábbi tétel alapanyag címkéjét ( P1) a vadun nem tudják regisztrálni mert csipogás után az alábbi hiba üzenetet írja ki :
Alapanyag regisztrálása sikertelen. (Nincs a Tétel a Boom listájában.)
HB31451P0 – 81464623
köszönjük , üdv : Erika & Etelka

*Site (WAR/ CEG):
*Affected line (PowerLine / HD-Line / EASY / Sinter Line/ Econo1/Econo2/ 62mm/ IHM): 
Fauf / Lot ID: 81464623
Area (e.g. Chip soldering): 
Interface (Camstar / XMES/ Equipment): 
*Equipment or Process (ID, Equipment number): 
Host Name: 
Screenshot of the error message: 
*Contact: 

If applicable: 
Carriers / Items affected (ID):",Procedural,Material Setup,"row was gray without material charge and quantity. Lot mismatch.
81469621 az 42361  termék, amikez a 20000017specben azaz vadunál a 42461 alapanyag
(81464623 az 40895 ös termék, amikez a 20000017specben azaz vadunál a 40904 van alapanyagként megadva ) Tételkeveredés volt ezáltal nem fogadta el a 81464623  címkét 81469621 hez)",Low,26,1
INC000005547585,Cegled,CW: 2021/40,10/5/2021 4:24:06 AM,"Site:
	CEG

Affected Line:
	IHM

Fauf (Fertigungsauftrag) / Lot ID:
	81400000

Area:
	

Interface:
	Camstar

Equipments or Process Affected:
	Lézer-Házszerelés

Host name:
	

Problem description / Error message:
	Elfogyott a gyártásban a 36995-ös DMX kódú alaplap, kérem az átfordító tábla módosítását 36996-ra!

Contact Phone Number:
	06302650641

",Configuration,Master Data,in eway RawMaterialNumber changed from 36995 to 36996,Low,27,1
INC000005547894,Cegled,CW: 2021/40,10/5/2021 6:47:58 AM,"Site:
	CEG

Affected Line:
	62mm

Fauf (Fertigungsauftrag) / Lot ID:
	81469625

Area:
	Datacon

Interface:
	Camstar

Equipments or Process Affected:
	Termel? gép száma: VLO-300-7
	

Host name:
	Számítógép száma: ISCFS4PN4558

Problem description / Error message:
	Nyomtatott vonalkód beolvasását követ?en a gép „kapcsolódás sikertelen, ismeretlen hiba (200)” üzenetet ír ki.
	Fél óra múlva továbbítanánk az anyagot a következ? állomásra.
	
	

Contact Phone Number:
	308311766

",Platform,Others,"Error 200 hint to network issu. See email Di 05.10.2021 07:15. Next time please do screenshot including error message and time stamp, and involve locale Maint/Eng/IT  Sziasztok , a Di 05.10.2021 07:15 levélben írtak szerint az error 200 hálózati hibaüzenet. Ha lekközelebb ilyet tapasztaltok, kérem készítsetek képet amin látszik a hibaüzenetet s vonjétok be az ottani helyi karbantartót/mérnököt és az It-t",Low,28,1
INC000005549163,Cegled,CW: 2021/40,10/5/2021 11:37:54 AM,"Site:
	CEG

Affected Line:
	62mm

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	Systembond

Interface:
	Equipment

Equipments or Process Affected:
	HK125, 150, 226, 237, 238, 239 

Host name:
	

Problem description / Error message:
	HK125, 150, 226, 237, 238, 239 -hez tartozó iPC monitorokon ""Várakozás beavatkozásra""-t mutat a gép, miközben a termelés folyamatosan megy. (TFM szerint csak a 125,150 nem ""ugrik át"" zöldbe..)

Contact Phone Number:
	0653510788

",Procedural,Others,"PLease get contact with the responsible engineer because the all mentioned equipments are in offline state in EAF, so need to check the related server.",Low,29,1
INC000005550104,Cegled,CW: 2021/40,10/5/2021 5:03:09 PM,"Site:
	CEG

Affected Line:
	IHM

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	

Equipments or Process Affected:
	30118533

Host name:
	

Problem description / Error message:
	Viscon-nál lév? gép ezt a hibát jelzi: Get User függvény hívási hiba. Nem lehet csatlakozni a távoli kiszolgálóhoz. 
	Global ID: 30118533
	Computer name: ISCFS4RL7310

Contact Phone Number:
	06302650641

",Platform,Others,PC restart needed.,Low,30,1
INC000005550419,Cegled,CW: 2021/40,10/5/2021 9:25:21 PM,"Site:
	CEG

Affected Line:
	62mm

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	Camstar

Equipments or Process Affected:
	N/A

Host name:
	

Problem description / Error message:
	Kiregisztrálatlan WTk 

Contact Phone Number:
	0653510788

",Procedural,Others,WT unregister is done.,Low,31,1
INC000005551678,Cegled,CW: 2021/40,10/6/2021 1:21:24 PM,"*Problem description / Error message: Do a material reverse from 36996 mat to 36995 in Eway db.
*Site (WAR/ CEG):
*Affected line (PowerLine / HD-Line / EASY / Sinter Line/ Econo1/Econo2/ 62mm/ IHM): IHM
Fauf / Lot ID: 81470487, 81470488
Area (e.g. Chip soldering): IHM Clean Room
Interface (Camstar / XMES/ Equipment): Equipment
*Equipment or Process (ID, Equipment number): House assembly
Host Name: 
Screenshot of the error message: 
*Contact: 

If applicable: 
Carriers / Items affected (ID):",Configuration,Master Data,Raw material entries has been changed from 36996 to 36995 in db at 7th and 16th row,Low,32,1
INC000005552023,Cegled,CW: 2021/41,10/6/2021 11:03:51 AM,"Camstar regisztrálja a hordzókat RTG állomáson és így kiregisztrálni se tudjuk.

",Configuration,Others,"Many carrier was stucked in the UI, needed to perform move in cancel for them.",Low,33,1
INC000005552596,Cegled,CW: 2021/41,10/6/2021 3:15:16 PM,"*Problem description / Error message: 
Sziasztok.

DC-n indultak volna az alábbi tételek, de a Videoton 1.3 nem viszi egyik tételt sem, hiába vannak elstartolva ewayben és camstarban is:

432	81477937	39350	KH3142P2
 	 	 	 
2 160	81475582	37956	OH2845P1
1 080	81478278	27837	OH2847P1


Máté Norbit nem tudtam elérni. Ezeket a tételeket egyszerre hagyta jóvá további tételekkel, nem tudom azok is érintettek-e a problémával:
 

Rá tudnátok nézni mi lehet a baj?
Köszönöm!

Üdv, Niki.

*Site (WAR/ CEG):ceg
*Affected line (PowerLine / HD-Line / EASY / Sinter Line/ Econo1/Econo2/ 62mm/ IHM): 
Fauf / Lot ID: 81477937	, 81475582	,  81478278	
Area (e.g. Chip soldering): 
Interface (Camstar / XMES/ Equipment): 
*Equipment or Process (ID, Equipment number): 
Host Name: 
Screenshot of the error message: 
*Contact: 

If applicable: 
Carriers / Items affected (ID):",Integration,LEGACY APP,"solved on 6th of oct by recovery of import tool, no more issue during monitoring days after",Low,34,1
INC000005552832,Cegled,CW: 2021/40,10/6/2021 3:21:48 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	Frame bonding

Interface:
	Equipment

Equipments or Process Affected:
	H&K-173-nál az EQstat felületen nincs választási lehet?ség.
	Kérem nézzetek rá.
	

Host name:
	

Problem description / Error message:
	EQstat- nincs választási lehet?ség

Contact Phone Number:
	+36304238256

",Configuration,Others,The equipment was not configured in IPC.,Low,35,1
INC000005553269,Cegled,CW: 2021/40,10/6/2021 9:53:15 PM,"*Problem description / Error message: Sziasztok!
Segítséget szeretnénk kérni a következ? WT-k kiregisztrálásában!
El?re is köszönjük!
Üdv : Ildi, Erika

0100087343901069
0100087343900057
0100087343900302
0100087343900267
0100087343900965
0100087343900066
0100087343901029
0100087343900952
0100087343900312
0100087343900421
0100087343900391
0100087343900247
0100087343900807
0100087343900265
0100087343900740
0100087343900461
0100087343900394
0100087343900184
0100087343900733
0100087343900884
0100087343900896
0100087343900886
0100087343900526
0100087343900294
0100087343900130
0100087343900453
0100087343900473
0100087343900695
0100087343900779
0100087343900938
0100087343900803
0100087343901148
0100087343900940
0100087343900261
0100087343900281

*Site (WAR/ CEG):CEG
*Affected line (PowerLine / HD-Line / EASY / Sinter Line/ Econo1/Econo2/ 62mm/ IHM): 62mm
Fauf / Lot ID: 
Area (e.g. Chip soldering): 
Interface (Camstar / XMES/ Equipment): 
*Equipment or Process (ID, Equipment number): 
Host Name: 
Screenshot of the error message: 
*Contact: 

If applicable: 
Carriers / Items affected (ID): 0100087343901069
0100087343900057
0100087343900302
0100087343900267
0100087343900965
0100087343900066
0100087343901029
0100087343900952
0100087343900312
0100087343900421
0100087343900391
0100087343900247
0100087343900807
0100087343900265
0100087343900740
0100087343900461
0100087343900394
0100087343900184
0100087343900733
0100087343900884
0100087343900896
0100087343900886
0100087343900526
0100087343900294
0100087343900130
0100087343900453
0100087343900473
0100087343900695
0100087343900779
0100087343900938
0100087343900803
0100087343901148
0100087343900940
0100087343900261
0100087343900281",Configuration,Others,at 20:30 email sent with free carriers included,Low,36,1
INC000005553443,Cegled,CW: 2021/40,10/6/2021 6:31:26 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	81478261

Area:
	

Interface:
	Camstar

Equipments or Process Affected:
	Automata csomagoló

Host name:
	

Problem description / Error message:
	Kellene egy kis segítség a 81478261 tételnél mert két hordozóra van regisztrálva és igy az automata csomagoló nem tudja le kezelni 
	Legyetek szíves át tenni egy hordozóra 
	

Contact Phone Number:
	06308311776

",Procedural,Others,Mi 06.10.2021 19:46 from 2 carrier to one carrier done,Low,37,1
